Date,BTC,ETH,LTC
2018-05-28,7135.990234375,516.0360107422,111.5979995728
2018-05-29,7472.58984375,565.3880004883,119.5680007935
2018-05-30,7406.5200195313,559.5900268555,117.5329971313
2018-05-31,7494.169921875,577.6450195313,118.0739974976
2018-06-01,7541.4501953125,580.0430297852,119.9150009155
2018-06-02,7643.4501953125,591.8079833984,123.3069992065
2018-06-03,7720.25,618.3289794922,125.5
2018-06-04,7514.4702148438,592.9849853516,119.9029998779
2018-06-05,7633.759765625,609.3029785156,121.7009963989
2018-06-06,7653.9799804688,607.1240234375,121.1829986572
2018-06-07,7678.240234375,605.1870117188,121.4260025024
2018-06-08,7624.919921875,601.0770263672,120.0839996338
2018-06-09,7531.9799804688,597.5620117188,117.7409973145
2018-06-10,6786.0200195313,526.4790039063,107.0439987183
2018-06-11,6906.919921875,533.283996582,107.5159988403
2018-06-12,6582.3598632813,496.8429870605,100.7519989014
2018-06-13,6349.8999023438,477.4939880371,94.0755996704
2018-06-14,6675.3500976563,519.7420043945,101.1539993286
2018-06-15,6456.580078125,491.0039978027,96.6760025024
2018-06-16,6550.16015625,499.641998291,97.577003479
2018-06-17,6499.2700195313,500.4479980469,96.1026000977
2018-06-18,6734.8198242188,518.8909912109,98.8190002441
2018-06-19,6769.9399414063,537.9569702148,98.8376998901
2018-06-20,6776.5498046875,536.2680053711,97.9934997559
2018-06-21,6729.740234375,527.3670043945,96.9254989624
2018-06-22,6083.6899414063,465.816986084,85.0758972168
2018-06-23,6162.4799804688,474.5199890137,82.6036987305
2018-06-24,6173.2299804688,457.6719970703,80.7770996094
2018-06-25,6249.1801757813,460.3099975586,81.8333969116
2018-06-26,6093.669921875,432.7720031738,76.8666992188
2018-06-27,6157.1298828125,442.3649902344,80.6596984863
2018-06-28,5903.4399414063,422.3649902344,74.9298019409
2018-06-29,6218.2998046875,436.0090026855,78.7688980103
2018-06-30,6404,455.1799926758,81.3740005493
2018-07-01,6385.8198242188,453.9179992676,80.2428970337
2018-07-02,6614.1801757813,475.3469848633,85.2571029663
2018-07-03,6529.58984375,464.1950073242,85.1013031006
2018-07-04,6597.5498046875,467.3179931641,85.4940032959
2018-07-05,6639.1401367188,474.4119873047,83.7600021362
2018-07-06,6673.5,474.0119934082,83.3780975342
2018-07-07,6856.9301757813,491.6600036621,86.2018966675
2018-07-08,6773.8798828125,489.1189880371,82.3960037231
2018-07-09,6741.75,476.6820068359,80.8575973511
2018-07-10,6329.9501953125,434.4240112305,76.0835037231
2018-07-11,6394.7099609375,446.5180053711,78.6998977661
2018-07-12,6228.8100585938,430.074005127,76.8086013794
2018-07-13,6238.0498046875,434.0270080566,76.9424972534
2018-07-14,6276.1201171875,436.0859985352,76.7223968506
2018-07-15,6359.6401367188,449.8500061035,78.9390029907
2018-07-16,6741.75,480.657989502,84.5959014893
2018-07-17,7321.0400390625,501.0020141602,89.806098938
2018-07-18,7370.7797851563,480.5130004883,86.962097168
2018-07-19,7466.8598632813,469.6189880371,86.6677017212
2018-07-20,7354.1298828125,450.6979980469,82.7546005249
2018-07-21,7419.2900390625,462.4360046387,84.4638977051
2018-07-22,7418.490234375,459.6570129395,83.1561965942
2018-07-23,7711.1098632813,450.8529968262,82.4331970215
2018-07-24,8424.26953125,479.3729858398,89.2852020264
